,Symbol,Name,industry,Sector,MarketCap
763,CGROW,Collective Growth Corporation,Business Services,Finance,
764,CLCT,"Collectors Universe, Inc.",Business Services,Miscellaneous,$447.94M
765,COLL,"Collegium Pharmaceutical, Inc.",Major Pharmaceuticals,Health Care,$639.76M
766,CIGI,Colliers International Group Inc. ,Real Estate,Finance,$2.57B
767,CLGN,CollPlant Biotechnologies Ltd.,,,$59.5M
768,CBAN,"Colony Bankcorp, Inc.",Major Banks,Finance,$103.73M
769,HHT,Color Star Technology Co. Ltd.,Engineering & Construction,Basic Industries,$22.18M
770,COLB,"Columbia Banking System, Inc.",Major Banks,Finance,$2.09B
771,CLBK,"Columbia Financial, Inc.",Savings Institutions,Finance,$1.27B
772,COLM,Columbia Sportswear Company,Apparel,Consumer Non-Durables,$5.5B
773,CMCO,Columbus McKinnon Corporation,Construction/Ag Equipment/Trucks,Capital Goods,$872.65M
774,CMCSA,Comcast Corporation,Television Services,Consumer Services,$198.3B
775,CBSH,"Commerce Bancshares, Inc.",Major Banks,Finance,$6.68B
776,CBSHP,"Commerce Bancshares, Inc.",Major Banks,Finance,
777,CVGI,"Commercial Vehicle Group, Inc.",Auto Parts:O.E.M.,Capital Goods,$151.15M
778,COMM,"CommScope Holding Company, Inc.",Radio And Television Broadcasting And Communications Equipment,Technology,$2.07B
779,JCS,"Communications Systems, Inc.",Telecommunications Equipment,Public Utilities,$42.95M
780,ESXB,Community Bankers Trust Corporation.,Major Banks,Finance,$113.34M
781,CFBI,"Community First Bancshares, Inc.",Savings Institutions,Finance,$49.89M
782,CTBI,"Community Trust Bancorp, Inc.",Major Banks,Finance,$587.64M
783,CWBC,Community West Bancshares,Major Banks,Finance,$69.9M
784,CVLT,"Commvault Systems, Inc.",Computer Software: Prepackaged Software,Technology,$2.01B
785,CGEN,Compugen Ltd.,Biotechnology: Biological Products (No Diagnostic Substances),Health Care,$1.61B
786,CPSI,"Computer Programs and Systems, Inc.",EDP Services,Technology,$409.68M
787,CTG,"Computer Task Group, Incorporated",EDP Services,Technology,$74.35M
788,SCOR,"comScore, Inc.",Business Services,Miscellaneous,$187.31M
789,CHCI,"Comstock Holding Companies, Inc.",Real Estate,Finance,$22.54M
790,CMTL,Comtech Telecommunications Corp.,Radio And Television Broadcasting And Communications Equipment,Technology,$422.67M
791,CNCE,"Concert Pharmaceuticals, Inc.",Major Pharmaceuticals,Health Care,$287.28M
792,BBCP,"Concrete Pumping Holdings, Inc. ",Engineering & Construction,Basic Industries,$212.51M
793,CDOR,"Condor Hospitality Trust, Inc.",Real Estate Investment Trusts,Consumer Services,$52.84M
794,CNDT,Conduent Incorporated,Business Services,Miscellaneous,$787.74M
795,CFMS,"ConforMIS, Inc.",Industrial Specialties,Health Care,$53.28M
796,CNFR,"Conifer Holdings, Inc.",Property-Casualty Insurers,Finance,$25.86M
797,CNFRL,"Conifer Holdings, Inc.",Property-Casualty Insurers,Finance,
798,CNMD,CONMED Corporation,Biotechnology: Electromedical & Electrotherapeutic Apparatus,Health Care,$2.42B
799,CNOB,"ConnectOne Bancorp, Inc.",Major Banks,Finance,$607.42M
800,CONN,"Conn&#39;s, Inc.",Consumer Electronics/Video Chains,Consumer Services,$370.6M
801,CNSL,"Consolidated Communications Holdings, Inc.",Telecommunications Equipment,Public Utilities,$592.5M
802,CWCO,Consolidated Water Co. Ltd.,Water Supply,Public Utilities,$184.19M
803,CNST,"Constellation Pharmaceuticals, Inc.",Major Pharmaceuticals,Health Care,$997.5M
804,ROAD,"Construction Partners, Inc.",Military/Government/Technical,Basic Industries,$922.23M
805,CPSS,"Consumer Portfolio Services, Inc.",Finance: Consumer Services,Finance,$74.47M
806,CFRX,ContraFect Corporation,Major Pharmaceuticals,Health Care,$144.61M
807,CPTI,"ConversionPoint Holdings, Inc.",,,
808,CPAA,Conyers Park II Acquisition Corp.,Business Services,Finance,$603.56M
809,CPAAU,Conyers Park II Acquisition Corp.,Business Services,Finance,
810,CPAAW,Conyers Park II Acquisition Corp.,Business Services,Finance,
811,CPRT,"Copart, Inc.",Automotive Aftermarket,Consumer Durables,$23.92B
812,CRBP,"Corbus Pharmaceuticals Holdings, Inc.",Major Pharmaceuticals,Health Care,$670.86M
813,CORT,Corcept Therapeutics Incorporated,Major Pharmaceuticals,Health Care,$1.48B
814,CORE,"Core-Mark Holding Company, Inc.",Food Distributors,Consumer Non-Durables,$1.53B
815,CSOD,"Cornerstone OnDemand, Inc.",Computer Software: Prepackaged Software,Technology,$2.24B
816,CRTX,"Cortexyme, Inc.",Biotechnology: Biological Products (No Diagnostic Substances),Health Care,$1.26B
817,CLDB,Cortland Bancorp,Savings Institutions,Finance,$59.12M
818,CRVL,CorVel Corp.,Specialty Insurers,Finance,$1.49B
819,KOR,Corvus Gold Inc.,Precious Metals,Basic Industries,$362.04M
820,CRVS,"Corvus Pharmaceuticals, Inc.",Major Pharmaceuticals,Health Care,$104.85M
821,CSGP,"CoStar Group, Inc.",Business Services,Miscellaneous,$33.63B
822,COST,Costco Wholesale Corporation,Department/Specialty Retail Stores,Consumer Services,$152.2B
823,CPAH,CounterPath Corporation,Computer Software: Prepackaged Software,Technology,$24.3M
824,ICBK,"County Bancorp, Inc.",Major Banks,Finance,$121.94M
825,COUP,Coupa Software Incorporated,Computer Software: Prepackaged Software,Technology,$20.23B
826,CVLG,"Covenant Logistics Group, Inc.",Trucking Freight/Courier Services,Transportation,$323.15M
827,CVET,"Covetrus, Inc.",Medical/Nursing Services,Health Care,$2.7B
828,COWN,Cowen Inc.,Investment Bankers/Brokers/Service,Finance,$491.21M
829,COWNL,Cowen Inc.,Investment Bankers/Brokers/Service,Finance,
830,COWNZ,Cowen Inc.,Investment Bankers/Brokers/Service,Finance,
831,CPSH,CPS Technologies Corp.,Building Materials,Capital Goods,$21.67M
832,CRAI,"CRA International,Inc.",Other Consumer Services,Miscellaneous,$357.73M
833,CBRL,"Cracker Barrel Old Country Store, Inc.",Restaurants,Consumer Services,$2.89B
834,BREW,"Craft Brew Alliance, Inc.",Beverages (Production/Distribution),Consumer Non-Durables,$310.77M
835,CREX,"Creative Realities, Inc.",EDP Services,Technology,$14.9M
836,CREXW,"Creative Realities, Inc.",EDP Services,Technology,
837,CACC,Credit Acceptance Corporation,Finance: Consumer Services,Finance,$8.3B
838,GLDI,Credit Suisse AG,Investment Bankers/Brokers/Service,Finance,
839,SLVO,Credit Suisse AG,Investment Bankers/Brokers/Service,Finance,
840,USOI,Credit Suisse AG,Investment Bankers/Brokers/Service,Finance,
841,CREE,"Cree, Inc.",Semiconductors,Technology,$6.88B
842,CRSA,Crescent Acquisition Corp,Services-Misc. Amusement & Recreation,Consumer Services,$314.06M
843,CRSAU,Crescent Acquisition Corp,Services-Misc. Amusement & Recreation,Consumer Services,
844,CRSAW,Crescent Acquisition Corp,Services-Misc. Amusement & Recreation,Consumer Services,
845,CCAP,"Crescent Capital BDC, Inc.",,,$347.87M
846,CRESY,Cresud S.A.C.I.F. y A.,Real Estate,Finance,$172.06M
847,CXDO,"Crexendo, Inc.",Telecommunications Equipment,Public Utilities,$150.24M
848,CRNX,"Crinetics Pharmaceuticals, Inc.",Major Pharmaceuticals,Health Care,$510.68M
849,CRSP,CRISPR Therapeutics AG,Biotechnology: Biological Products (No Diagnostic Substances),Health Care,$6.24B
850,CRTO,Criteo S.A.,Advertising,Technology,$809.75M
851,CROX,"Crocs, Inc.",Shoe Manufacturing,Consumer Non-Durables,$2.7B
852,CRON,Cronos Group Inc.,Specialty Chemicals,Consumer Durables,$1.91B
853,CCRN,"Cross Country Healthcare, Inc.",Professional Services,Technology,$237.79M
854,CFB,"CrossFirst Bankshares, Inc.",Major Banks,Finance,$497.88M
855,CRWD,"CrowdStrike Holdings, Inc.",Computer Software: Prepackaged Software,Technology,$24.53B
856,CRWS,"Crown Crafts, Inc.",Textiles,Basic Industries,$58.57M
857,CYRX,"CryoPort, Inc.",Major Pharmaceuticals,Health Care,$1.56B
858,CSGS,"CSG Systems International, Inc.",EDP Services,Technology,$1.45B
859,CCLP,CSI Compressco LP,Oilfield Services/Equipment,Energy,$58.71M
860,CSPI,CSP Inc.,EDP Services,Technology,$41.49M
861,CSWI,"CSW Industrials, Inc.",Home Furnishings,Basic Industries,$1.08B
862,CSX,CSX Corporation,Railroads,Transportation,$58.01B
863,CTIC,CTI BioPharma Corp.,Major Pharmaceuticals,Health Care,$86.25M
864,CUE,"Cue Biopharma, Inc.",Major Pharmaceuticals,Health Care,$574.59M
865,CPIX,Cumberland Pharmaceuticals Inc.,Major Pharmaceuticals,Health Care,$49.35M
866,CMLS,Cumulus Media Inc.,Broadcasting,Consumer Services,$108.9M
867,CVAC,CureVac N.V.,Major Pharmaceuticals,Health Care,$11.13B
868,CRIS,"Curis, Inc.",Biotechnology: Biological Products (No Diagnostic Substances),Health Care,$61.41M
869,CUTR,"Cutera, Inc.",Biotechnology: Electromedical & Electrotherapeutic Apparatus,Health Care,$326.19M
870,CVBF,CVB Financial Corporation,Major Banks,Finance,$2.53B
871,CVV,CVD Equipment Corporation,Industrial Machinery/Components,Technology,$21.05M
872,CYAN,Cyanotech Corporation,Specialty Chemicals,Consumer Durables,$14.11M
873,CYBR,CyberArk Software Ltd.,Computer Software: Prepackaged Software,Technology,$4.22B
874,CYBE,CyberOptics Corporation,Electronic Components,Capital Goods,$244.93M
875,CYCC,"Cyclacel Pharmaceuticals, Inc.",Major Pharmaceuticals,Health Care,$20.23M
876,CYCCP,"Cyclacel Pharmaceuticals, Inc.",Major Pharmaceuticals,Health Care,
877,CYCN,"Cyclerion Therapeutics, Inc.",Major Pharmaceuticals,Health Care,$227.6M
878,CBAY,CymaBay Therapeutics Inc.,Major Pharmaceuticals,Health Care,$456.03M
879,CYRN,CYREN Ltd.,Computer Software: Prepackaged Software,Technology,$62.83M
880,CONE,CyrusOne Inc,Real Estate Investment Trusts,Consumer Services,$9.38B
881,CYTK,"Cytokinetics, Incorporated",Major Pharmaceuticals,Health Care,$1.72B
882,CTMX,"CytomX Therapeutics, Inc.",Major Pharmaceuticals,Health Care,$327.04M
883,CTSO,Cytosorbents Corporation,Medical/Dental Instruments,Health Care,$367.71M
884,DADA,Dada Nexus Limited,"Computer Software: Programming, Data Processing",Technology,$5.82B
885,DJCO,Daily Journal Corp. (S.C.),Newspapers/Magazines,Consumer Services,$389.4M
886,DAKT,"Daktronics, Inc.",Miscellaneous manufacturing industries,Consumer Durables,$170.43M
887,DARE,"Dare Bioscience, Inc.",Major Pharmaceuticals,Health Care,$34.39M
888,DRIO,DarioHealth Corp.,Medical/Dental Instruments,Health Care,$130.52M
889,DRIOW,DarioHealth Corp.,Medical/Dental Instruments,Health Care,
890,DZSI,"DASAN Zhone Solutions, Inc.",Telecommunications Equipment,Public Utilities,$232.21M
891,DSKE,"Daseke, Inc.",Transportation Services,Consumer Services,$402.94M
892,DSKEW,"Daseke, Inc.",Transportation Services,Consumer Services,
893,DAIO,Data I/O Corporation,Electrical Products,Capital Goods,$28.19M
894,DDOG,"Datadog, Inc.",Computer Software: Prepackaged Software,Technology,$25.41B
895,DTSS,Datasea Inc.,Computer Software: Prepackaged Software,Technology,$58.43M
896,PLAY,"Dave & Buster&#39;s Entertainment, Inc.",Restaurants,Consumer Services,$692.81M
897,DTEA,DAVIDsTEA Inc.,Food Chains,Consumer Non-Durables,$25.58M
898,DFNL,Davis Select Financial ETF,,,
899,DINT,Davis Select International ETF,,,
900,DUSA,Davis Select U.S. Equity ETF,,,
901,DWLD,Davis Select Worldwide ETF,,,
902,DWSN,Dawson Geophysical Company,Oil & Gas Production,Energy,$37.36M
903,DBVT,DBV Technologies S.A.,Biotechnology: Biological Products (No Diagnostic Substances),Health Care,$235.93M
904,DCPH,"Deciphera Pharmaceuticals, Inc.",Major Pharmaceuticals,Health Care,$2.56B
905,DFHTU,Deerfield Healthcare Technology Acquisitions Corp.,Business Services,Finance,
906,IBBJ,Defiance Nasdaq Junior Biotechnology ETF,,,
907,TACO,"Del Taco Restaurants, Inc.",Restaurants,Consumer Services,$332.94M
908,DCTH,"Delcath Systems, Inc.",Medical/Dental Instruments,Health Care,$45.97M
909,DNLI,Denali Therapeutics Inc.,Biotechnology: Biological Products (No Diagnostic Substances),Health Care,$3.57B
910,DENN,Denny&#39;s Corporation,Restaurants,Consumer Services,$698.25M
911,XRAY,DENTSPLY SIRONA Inc.,Medical/Dental Instruments,Health Care,$9.55B
912,DRMT,Dermavant Sciences Ltd.,,,
913,DMTK,"DermTech, Inc.",Medical Specialities,Health Care,$237.46M
914,DXLG,"Destination XL Group, Inc.",Clothing/Shoe/Accessory Stores,Consumer Services,$14.35M
915,DSWL,"Deswell Industries, Inc.",Plastic Products,Consumer Non-Durables,$38.99M
916,DXCM,"DexCom, Inc.",Medical/Dental Instruments,Health Care,$41.18B
917,DFPH,DFP Healthcare Acquisitions Corp.,Business Services,Finance,$290.38M
918,DFPHU,DFP Healthcare Acquisitions Corp.,Business Services,Finance,
919,DFPHW,DFP Healthcare Acquisitions Corp.,Business Services,Finance,
920,DMAC,DiaMedica Therapeutics Inc.,Major Pharmaceuticals,Health Care,$85.26M
921,DHIL,"Diamond Hill Investment Group, Inc.",Investment Managers,Finance,$398.6M
922,FANG,"Diamondback Energy, Inc.",Oil & Gas Production,Energy,$6.48B
923,DPHC,DiamondPeak Holdings Corp.,Business Services,Finance,$505.75M
924,DPHCU,DiamondPeak Holdings Corp.,Business Services,Finance,
925,DPHCW,DiamondPeak Holdings Corp.,Business Services,Finance,
926,DRNA,"Dicerna Pharmaceuticals, Inc.",Major Pharmaceuticals,Health Care,$1.39B
927,DFFN,Diffusion Pharmaceuticals Inc.,Major Pharmaceuticals,Health Care,$67.2M
928,DGII,Digi International Inc.,Computer Communications Equipment,Technology,$394.6M
929,DMRC,Digimarc Corporation,EDP Services,Technology,$180.12M
930,DRAD,Digirad Corporation,Biotechnology: Electromedical & Electrotherapeutic Apparatus,Health Care,$12.17M
931,DRADP,Digirad Corporation,Biotechnology: Electromedical & Electrotherapeutic Apparatus,Health Care,
932,DGLY,"Digital Ally, Inc.",Radio And Television Broadcasting And Communications Equipment,Technology,$55.02M
933,APPS,"Digital Turbine, Inc.",Multi-Sector Companies,Miscellaneous,$2.15B
934,DCOM,"Dime Community Bancshares, Inc.",Savings Institutions,Finance,$436.69M
935,DCOMP,"Dime Community Bancshares, Inc.",Savings Institutions,Finance,
936,DIOD,Diodes Incorporated,Semiconductors,Technology,$2.63B
937,DRTT,DIRTT Environmental Solutions Ltd.,Computer Software: Prepackaged Software,Technology,$143.11M
938,DISCA,"Discovery, Inc.",Television Services,Consumer Services,$11.59B
939,DISCB,"Discovery, Inc.",Television Services,Consumer Services,$19.97B
940,DISCK,"Discovery, Inc.",Television Services,Consumer Services,$10.48B
941,DISH,DISH Network Corporation,Television Services,Consumer Services,$17.97B
942,DHC,Diversified Healthcare Trust ,Real Estate Investment Trusts,Consumer Services,$912.54M
943,DHCNI,Diversified Healthcare Trust ,Real Estate Investment Trusts,Consumer Services,
944,DHCNL,Diversified Healthcare Trust ,Real Estate Investment Trusts,Consumer Services,
945,DLHC,DLH Holdings Corp.,Professional Services,Technology,$112.3M
946,BOOM,DMC Global Inc.,Industrial Specialties,Capital Goods,$522.24M
947,DOCU,"DocuSign, Inc.",Computer Software: Prepackaged Software,Technology,$37.64B
948,DOGZ,Dogness (International) Corporation,Miscellaneous manufacturing industries,Consumer Durables,$30.32M
949,DLTR,"Dollar Tree, Inc.",Department/Specialty Retail Stores,Consumer Services,$24.35B
950,DLPN,"Dolphin Entertainment, Inc.",Other Consumer Services,Consumer Services,$26.71M
951,DLPNW,"Dolphin Entertainment, Inc.",Other Consumer Services,Consumer Services,
952,DOMO,"Domo, Inc.",Computer Software: Prepackaged Software,Technology,$1.09B
953,DGICA,"Donegal Group, Inc.",Property-Casualty Insurers,Finance,$430.26M
954,DGICB,"Donegal Group, Inc.",Property-Casualty Insurers,Finance,$360.89M
955,DMLP,"Dorchester Minerals, L.P.",Oil & Gas Production,Energy,$406.45M
956,DORM,"Dorman Products, Inc.",Auto Parts:O.E.M.,Capital Goods,$2.7B
957,DDI,"DoubleDown Interactive Co., Ltd.",EDP Services,Technology,
958,DOYU,DouYu International Holdings Limited,"Computer Software: Programming, Data Processing",Technology,$5.04B
959,DKNG,DraftKings Inc.,Services-Misc. Amusement & Recreation,Consumer Services,$29.24B
960,LYL,Dragon Victory International Limited,Finance/Investors Services,Finance,$13.02M
961,DBX,"Dropbox, Inc.",Computer Software: Prepackaged Software,Technology,$8.33B
962,DSPG,"DSP Group, Inc.",Semiconductors,Technology,$340.27M
963,DCT,"Duck Creek Technologies, Inc.",Computer Software: Prepackaged Software,Technology,$5.25B
964,DLTH,Duluth Holdings Inc.,Clothing/Shoe/Accessory Stores,Consumer Services,$288.05M
965,DNKN,"Dunkin&#39; Brands Group, Inc.",Restaurants,Consumer Services,$6.14B
966,DUOT,"Duos Technologies Group, Inc.",Computer Software: Prepackaged Software,Technology,$14.83M
967,DRRX,DURECT Corporation,Major Pharmaceuticals,Health Care,$393.13M
968,DXPE,"DXP Enterprises, Inc.",Industrial Machinery/Components,Capital Goods,$346.51M
969,DYAI,"Dyadic International, Inc.",Biotechnology: Biological Products (No Diagnostic Substances),Health Care,$225.08M
970,DYNT,Dynatronics Corporation,Medical/Dental Instruments,Health Care,$10.44M
971,DVAX,Dynavax Technologies Corporation,Major Pharmaceuticals,Health Care,$692.11M
972,ETFC,E*TRADE Financial Corporation,Savings Institutions,Finance,$11.93B
973,ETACU,E.Merge Technology Acquisition Corp.,Business Services,Finance,
974,SSP,E.W. Scripps Company (The),Broadcasting,Consumer Services,$970.05M
975,EBMT,"Eagle Bancorp Montana, Inc.",Major Banks,Finance,$120.22M
976,EGBN,"Eagle Bancorp, Inc.",Major Banks,Finance,$967.84M
977,EGLE,Eagle Bulk Shipping Inc.,Marine Transportation,Transportation,$194.94M
978,EGRX,"Eagle Pharmaceuticals, Inc.",Major Pharmaceuticals,Health Care,$549.72M
979,IGLE,Eagleline Acquisition Corp.,,,
980,ERESU,East Resources Acquisition Company,Business Services,Finance,
981,ESSC,East Stone Acquisition Corporation,Business Services,Finance,$174.38M
982,ESSCR,East Stone Acquisition Corporation,Business Services,Finance,
983,ESSCU,East Stone Acquisition Corporation,Business Services,Finance,
984,ESSCW,East Stone Acquisition Corporation,Business Services,Finance,
985,EWBC,"East West Bancorp, Inc.",Major Banks,Finance,$5.35B
986,EML,Eastern Company (The),Industrial Machinery/Components,Capital Goods,$130.68M
987,EAST,"Eastside Distilling, Inc.",Beverages (Production/Distribution),Consumer Non-Durables,$13.48M
988,EVGBC,Eaton Vance NextShares Trust,,,
989,EVSTC,Eaton Vance NextShares Trust,,,
990,EVLMC,Eaton Vance NextShares Trust II,,,
991,EBON,Ebang International Holdings Inc.,Semiconductors,Technology,$783.59M
992,EBAY,eBay Inc.,Business Services,Miscellaneous,$40.63B
993,EBAYL,eBay Inc.,Business Services,Miscellaneous,
994,EBIX,"Ebix, Inc.",EDP Services,Technology,$770.03M
995,ECHO,"Echo Global Logistics, Inc.",Oil Refining/Marketing,Transportation,$727.51M
996,SATS,EchoStar Corporation,Radio And Television Broadcasting And Communications Equipment,Technology,$2.95B
997,MOHO,ECMOHO Limited,Catalog/Specialty Distribution,Consumer Services,$69.36M
998,EDAP,EDAP TMS S.A.,Biotechnology: Electromedical & Electrotherapeutic Apparatus,Health Care,$99.89M
999,EDSA,"Edesa Biotech, Inc.",Major Pharmaceuticals,Health Care,$59.12M
1000,EDNT,"Edison Nation, Inc.",Recreational Products/Toys,Consumer Non-Durables,$25.32M
1001,EDIT,"Editas Medicine, Inc.",Biotechnology: Biological Products (No Diagnostic Substances),Health Care,$2.18B
1002,EDUC,Educational Development Corporation,Consumer Specialties,Consumer Durables,$122.48M
1003,EGAN,eGain Corporation,Computer Software: Prepackaged Software,Technology,$337.27M
1004,EH,EHang Holdings Limited,Air Freight/Delivery Services,Transportation,$460.81M
1005,EHTH,"eHealth, Inc.",Specialty Insurers,Finance,$1.66B
1006,EIDX,"Eidos Therapeutics, Inc.",Major Pharmaceuticals,Health Care,$1.59B
1007,EIGR,"Eiger BioPharmaceuticals, Inc.",Biotechnology: Biological Products (No Diagnostic Substances),Health Care,$332.49M
1008,EKSO,"Ekso Bionics Holdings, Inc.",Industrial Machinery/Components,Capital Goods,$43.42M
1009,LOCO,"El Pollo Loco Holdings, Inc.",Restaurants,Consumer Services,$614.63M
1010,ESLT,Elbit Systems Ltd.,Military/Government/Technical,Capital Goods,$5.97B
1011,SOLO,Electrameccanica Vehicles Corp. Ltd.,Auto Manufacturing,Capital Goods,$193.01M
1012,SOLOW,Electrameccanica Vehicles Corp. Ltd.,Auto Manufacturing,Capital Goods,
1013,ECOR,"electroCore, Inc.",Biotechnology: Electromedical & Electrotherapeutic Apparatus,Health Care,$83.71M
1014,EA,Electronic Arts Inc.,Computer Software: Prepackaged Software,Technology,$41.07B
1015,ELSE,"Electro-Sensors, Inc.",Industrial Machinery/Components,Capital Goods,$13.62M
1016,ESBK,Elmira Savings Bank NY (The),Major Banks,Finance,$37.05M
1017,ELOX,"Eloxx Pharmaceuticals, Inc.",Biotechnology: Commercial Physical & Biological Resarch,Health Care,$136.47M
1018,ELTK,Eltek Ltd.,Electrical Products,Technology,$23M
1019,EMCF,Emclaire Financial Corp,Major Banks,Finance,$64.41M
1020,EMKR,EMCORE Corporation,Semiconductors,Technology,$97.93M
1021,ENTA,"Enanta Pharmaceuticals, Inc.",Major Pharmaceuticals,Health Care,$1.02B
1022,ECPG,Encore Capital Group Inc,Finance Companies,Finance,$1.45B
1023,WIRE,Encore Wire Corporation,Metal Fabrications,Capital Goods,$1.08B
1024,ENDP,Endo International plc,Major Pharmaceuticals,Health Care,$652.68M
1025,NDRA,ENDRA Life Sciences Inc.,Biotechnology: Electromedical & Electrotherapeutic Apparatus,Health Care,$17.85M
1026,NDRAW,ENDRA Life Sciences Inc.,Biotechnology: Electromedical & Electrotherapeutic Apparatus,Health Care,
1027,EIGI,"Endurance International Group Holdings, Inc.",Computer Software: Prepackaged Software,Technology,$910.57M
1028,WATT,Energous Corporation,Radio And Television Broadcasting And Communications Equipment,Technology,$151.12M
1029,EFOI,"Energy Focus, Inc.",Building Products,Consumer Durables,$27.38M
1030,ERII,"Energy Recovery, Inc.",Industrial Machinery/Components,Technology,$459.93M
1031,ENG,ENGlobal Corporation,Military/Government/Technical,Consumer Services,$22.34M
1032,ENLV,Enlivex Therapeutics Ltd.,Major Pharmaceuticals,Health Care,$68.67M
1033,ENOB,"Enochian Biosciences, Inc.",Major Pharmaceuticals,Health Care,$187.85M
1034,ENPH,"Enphase Energy, Inc.",Semiconductors,Technology,$9.57B
1035,ESGR,Enstar Group Limited,Property-Casualty Insurers,Finance,$4.11B
1036,ESGRO,Enstar Group Limited,Property-Casualty Insurers,Finance,
1037,ESGRP,Enstar Group Limited,Property-Casualty Insurers,Finance,
1038,ETTX,Entasis Therapeutics Holdings Inc.,Major Pharmaceuticals,Health Care,$72.32M
1039,ENTG,"Entegris, Inc.",Plastic Products,Consumer Non-Durables,$9.42B
1040,ENTX,Entera Bio Ltd.,Biotechnology: Biological Products (No Diagnostic Substances),Health Care,$23.89M
1041,ENTXW,Entera Bio Ltd.,Biotechnology: Biological Products (No Diagnostic Substances),Health Care,
1042,EBTC,Enterprise Bancorp Inc,Major Banks,Finance,$255.99M
1043,EFSC,Enterprise Financial Services Corporation,Major Banks,Finance,$801.9M
1044,EVSI,"Envision Solar International, Inc.",Semiconductors,Technology,$73.43M
1045,EVSIW,"Envision Solar International, Inc.",Semiconductors,Technology,
1046,EPZM,"Epizyme, Inc.",Major Pharmaceuticals,Health Care,$1.3B
1047,PLUS,ePlus inc.,Retail: Computer Software & Peripheral Equipment,Technology,$1.05B
1048,EPSN,Epsilon Energy Ltd.,Oil & Gas Production,Energy,$76.86M
1049,EQ,"Equillium, Inc.",Major Pharmaceuticals,Health Care,$170.81M
1050,EQIX,"Equinix, Inc.",Real Estate Investment Trusts,Consumer Services,$69.05B
1051,EQBK,"Equity Bancshares, Inc.",Major Banks,Finance,$239.54M
1052,ERIC,Ericsson,Radio And Television Broadcasting And Communications Equipment,Technology,$38.86B
1053,ERIE,Erie Indemnity Company,Specialty Insurers,Finance,$11.06B
1054,ERYP,Erytech Pharma S.A.,Biotechnology: Biological Products (No Diagnostic Substances),Health Care,$135.05M
1055,ESCA,"Escalade, Incorporated",Recreational Products/Toys,Consumer Non-Durables,$260.71M
1056,ESPR,"Esperion Therapeutics, Inc.",Major Pharmaceuticals,Health Care,$892.64M
1057,GMBL,Esports Entertainment Group Inc.,Services-Misc. Amusement & Recreation,Consumer Services,$62.54M
1058,GMBLW,Esports Entertainment Group Inc.,Services-Misc. Amusement & Recreation,Consumer Services,
1059,ESQ,"Esquire Financial Holdings, Inc.",Commercial Banks,Finance,$128.74M
1060,ESSA,"ESSA Bancorp, Inc.",Banks,Finance,$141.04M
1061,EPIX,ESSA Pharma Inc.,Major Pharmaceuticals,Health Care,$205.96M
1062,ESTA,Establishment Labs Holdings Inc.,Industrial Specialties,Health Care,$428.32M
1063,VBND,ETF Series Solutions Trust Vident Core U.S. Bond Strategy Fund,,,$444.62M
1064,VUSE,ETF Series Solutions Trust Vident Core US Equity ETF,,,$457.74M
1065,VIDI,ETF Series Solutions Trust Vident International Equity Fund,,,
1066,ETON,"Eton Pharmaceuticals, Inc.",Major Pharmaceuticals,Health Care,$145.23M
1067,ETSY,"Etsy, Inc.",Business Services,Miscellaneous,$14.97B
1068,CLWT,Euro Tech Holdings Company Limited,Diversified Electronic Products,Consumer Durables,$8.04M
1069,EDRY,EuroDry Ltd.,Marine Transportation,Consumer Services,$8.67M
1070,EEFT,"Euronet Worldwide, Inc.",Investment Bankers/Brokers/Service,Finance,$5.55B
1071,ESEA,Euroseas Ltd.,Marine Transportation,Transportation,$14.17M
1072,EVLO,"Evelo Biosciences, Inc.",Major Pharmaceuticals,Health Care,$236.68M
1073,EVBG,"Everbridge, Inc.",Computer Software: Prepackaged Software,Technology,$4.76B
1074,EVK,"Ever-Glory International Group, Inc.",Apparel,Consumer Non-Durables,$15.99M
1075,EVER,"EverQuote, Inc.","Computer Software: Programming, Data Processing",Technology,$1.01B
1076,MRAM,"Everspin Technologies, Inc.",Semiconductors,Technology,$114.64M
1077,EVOP,"EVO Payments, Inc.",Business Services,Miscellaneous,$1.18B
1078,EVFM,"Evofem Biosciences, Inc.",Major Pharmaceuticals,Health Care,$260.1M
1079,EVGN,Evogene Ltd.,Agricultural Chemicals,Basic Industries,$42.75M
1080,EVOK,"Evoke Pharma, Inc.",Major Pharmaceuticals,Health Care,$119.91M
1081,EOLS,"Evolus, Inc.",Major Pharmaceuticals,Health Care,$115.35M
1082,EVOL,"Evolving Systems, Inc.",EDP Services,Technology,$13.57M
1083,EXAS,Exact Sciences Corporation,Biotechnology: Commercial Physical & Biological Resarch,Health Care,$11.76B
1084,XGN,Exagen Inc.,Medical Specialities,Health Care,$210.97M
1085,ROBO,Exchange Traded Concepts Trust ROBO Global Robotics and Automa,,,$220.06M
1086,XELA,"Exela Technologies, Inc.",Business Services,Miscellaneous,$67.01M
1087,EXEL,"Exelixis, Inc.",Biotechnology: Commercial Physical & Biological Resarch,Health Care,$6.78B
1088,EXC,Exelon Corporation,Power Generation,Public Utilities,$36.18B
1089,EXFO,EXFO Inc,Electrical Products,Capital Goods,$208.86M
1090,XCUR,"Exicure, Inc.",Major Pharmaceuticals,Health Care,$182.31M
1091,EXLS,"ExlService Holdings, Inc.",Business Services,Miscellaneous,$2.24B
1092,EXPI,"eXp World Holdings, Inc.",Real Estate,Finance,$2.81B
